# Planck 2018 lensed scalar CMB, D_ell = l(l+1)C_l/2pi in muK^2.
# Lensing BB only -- scalars, r = 0, no primordial B modes.
# Planck 2018 VI Table 2, TT,TE,EE+lowE+lensing (marginalised means):
#   H0=67.36 ombh2=0.02237 omch2=0.12 tau=0.0544
#   As=2.1e-09 ns=0.9649 mnu=0.06 omk=0
# CAMB 1.6.5, lens_potential_accuracy=4.
# columns: ell  D_TT  D_EE  D_BB  D_TE
     363     2.20460E+03     1.97201E+01     3.92988E-02     6.94433E+01
     364     2.18438E+03     1.98338E+01     3.94214E-02     6.77185E+01
     365     2.16459E+03     1.99444E+01     3.95441E-02     6.59756E+01
     366     2.14522E+03     2.00518E+01     3.96668E-02     6.42154E+01
     367     2.12627E+03     2.01561E+01     3.97897E-02     6.24386E+01
     368     2.10775E+03     2.02571E+01     3.99128E-02     6.06461E+01
     369     2.08966E+03     2.03548E+01     4.00360E-02     5.88385E+01
     370     2.07201E+03     2.04491E+01     4.01594E-02     5.70167E+01
     371     2.05479E+03     2.05402E+01     4.02830E-02     5.51814E+01
     372     2.03801E+03     2.06277E+01     4.04068E-02     5.33333E+01
     373     2.02166E+03     2.07119E+01     4.05309E-02     5.14732E+01
     374     2.00575E+03     2.07926E+01     4.06552E-02     4.96020E+01
     375     1.99028E+03     2.08697E+01     4.07799E-02     4.77202E+01
     376     1.97525E+03     2.09433E+01     4.09048E-02     4.58288E+01
     377     1.96067E+03     2.10132E+01     4.10301E-02     4.39283E+01
     378     1.94652E+03     2.10795E+01     4.11557E-02     4.20196E+01
     379     1.93281E+03     2.11420E+01     4.12816E-02     4.01034E+01
     380     1.91956E+03     2.12008E+01     4.14080E-02     3.81805E+01
     381     1.90675E+03     2.12558E+01     4.15347E-02     3.62515E+01
     382     1.89438E+03     2.13068E+01     4.16619E-02     3.43172E+01
     383     1.88246E+03     2.13541E+01     4.17895E-02     3.23786E+01
     384     1.87099E+03     2.13976E+01     4.19176E-02     3.04363E+01
     385     1.85995E+03     2.14371E+01     4.20461E-02     2.84912E+01
     386     1.84936E+03     2.14728E+01     4.21752E-02     2.65443E+01
     387     1.83922E+03     2.15046E+01     4.23047E-02     2.45962E+01
     388     1.82951E+03     2.15327E+01     4.24348E-02     2.26479E+01
     389     1.82024E+03     2.15568E+01     4.25654E-02     2.07002E+01
     390     1.81141E+03     2.15771E+01     4.26965E-02     1.87538E+01
     391     1.80302E+03     2.15935E+01     4.28283E-02     1.68096E+01
     392     1.79506E+03     2.16059E+01     4.29606E-02     1.48683E+01
     393     1.78753E+03     2.16144E+01     4.30936E-02     1.29308E+01
     394     1.78043E+03     2.16190E+01     4.32272E-02     1.09978E+01
     395     1.77376E+03     2.16196E+01     4.33614E-02     9.07001E+00
     396     1.76751E+03     2.16163E+01     4.34963E-02     7.14833E+00
     397     1.76168E+03     2.16090E+01     4.36319E-02     5.23348E+00
     398     1.75627E+03     2.15978E+01     4.37681E-02     3.32622E+00
     399     1.75128E+03     2.15825E+01     4.39051E-02     1.42732E+00
     400     1.74670E+03     2.15633E+01     4.40428E-02    -4.62468E-01
     401     1.74254E+03     2.15402E+01     4.41812E-02    -2.34239E+00
     402     1.73880E+03     2.15131E+01     4.43204E-02    -4.21168E+00
     403     1.73546E+03     2.14821E+01     4.44604E-02    -6.06960E+00
     404     1.73253E+03     2.14472E+01     4.46011E-02    -7.91537E+00
     405     1.73000E+03     2.14084E+01     4.47426E-02    -9.74825E+00
     406     1.72786E+03     2.13658E+01     4.48850E-02    -1.15676E+01
     407     1.72611E+03     2.13193E+01     4.50282E-02    -1.33724E+01
     408     1.72475E+03     2.12689E+01     4.51722E-02    -1.51622E+01
     409     1.72377E+03     2.12148E+01     4.53171E-02    -1.69360E+01
     410     1.72317E+03     2.11569E+01     4.54629E-02    -1.86931E+01
     411     1.72293E+03     2.10952E+01     4.56095E-02    -2.04331E+01
     412     1.72306E+03     2.10299E+01     4.57570E-02    -2.21551E+01
     413     1.72355E+03     2.09608E+01     4.59055E-02    -2.38586E+01
     414     1.72440E+03     2.08881E+01     4.60548E-02    -2.55429E+01
     415     1.72560E+03     2.08118E+01     4.62051E-02    -2.72074E+01
     416     1.72715E+03     2.07319E+01     4.63563E-02    -2.88515E+01
     417     1.72903E+03     2.06486E+01     4.65085E-02    -3.04745E+01
     418     1.73126E+03     2.05617E+01     4.66616E-02    -3.20759E+01
     419     1.73382E+03     2.04714E+01     4.68157E-02    -3.36548E+01
     420     1.73670E+03     2.03776E+01     4.69708E-02    -3.52109E+01
     421     1.73991E+03     2.02805E+01     4.71269E-02    -3.67433E+01
     422     1.74343E+03     2.01800E+01     4.72839E-02    -3.82514E+01
     423     1.74728E+03     2.00761E+01     4.74420E-02    -3.97346E+01
     424     1.75142E+03     1.99689E+01     4.76010E-02    -4.11923E+01
     425     1.75587E+03     1.98585E+01     4.77611E-02    -4.26240E+01
     426     1.76061E+03     1.97449E+01     4.79222E-02    -4.40294E+01
     427     1.76562E+03     1.96283E+01     4.80843E-02    -4.54080E+01
     428     1.77093E+03     1.95088E+01     4.82474E-02    -4.67593E+01
     429     1.77649E+03     1.93863E+01     4.84116E-02    -4.80830E+01
     430     1.78232E+03     1.92609E+01     4.85767E-02    -4.93785E+01
     431     1.78841E+03     1.91328E+01     4.87429E-02    -5.06456E+01
     432     1.79474E+03     1.90021E+01     4.89102E-02    -5.18839E+01
     433     1.80133E+03     1.88686E+01     4.90784E-02    -5.30926E+01
     434     1.80815E+03     1.87327E+01     4.92477E-02    -5.42717E+01
     435     1.81520E+03     1.85942E+01     4.94180E-02    -5.54204E+01
     436     1.82249E+03     1.84533E+01     4.95893E-02    -5.65385E+01
     437     1.83000E+03     1.83099E+01     4.97617E-02    -5.76255E+01
     438     1.83773E+03     1.81643E+01     4.99350E-02    -5.86811E+01
     439     1.84567E+03     1.80163E+01     5.01094E-02    -5.97046E+01
     440     1.85382E+03     1.78662E+01     5.02848E-02    -6.06961E+01
     441     1.86215E+03     1.77140E+01     5.04611E-02    -6.16550E+01
     442     1.87067E+03     1.75597E+01     5.06385E-02    -6.25812E+01
     443     1.87937E+03     1.74035E+01     5.08168E-02    -6.34742E+01
     444     1.88824E+03     1.72455E+01     5.09961E-02    -6.43339E+01
     445     1.89726E+03     1.70857E+01     5.11764E-02    -6.51598E+01
     446     1.90643E+03     1.69242E+01     5.13576E-02    -6.59518E+01
     447     1.91574E+03     1.67611E+01     5.15397E-02    -6.67098E+01
     448     1.92521E+03     1.65965E+01     5.17228E-02    -6.74337E+01
     449     1.93481E+03     1.64306E+01     5.19068E-02    -6.81233E+01
     450     1.94454E+03     1.62632E+01     5.20917E-02    -6.87786E+01
     451     1.95440E+03     1.60946E+01     5.22775E-02    -6.93995E+01
     452     1.96438E+03     1.59249E+01     5.24642E-02    -6.99856E+01
     453     1.97448E+03     1.57542E+01     5.26517E-02    -7.05370E+01
     454     1.98468E+03     1.55825E+01     5.28401E-02    -7.10533E+01
     455     1.99497E+03     1.54099E+01     5.30293E-02    -7.15345E+01
     456     2.00535E+03     1.52364E+01     5.32193E-02    -7.19803E+01
     457     2.01580E+03     1.50623E+01     5.34101E-02    -7.23907E+01
     458     2.02632E+03     1.48876E+01     5.36018E-02    -7.27653E+01
     459     2.03688E+03     1.47123E+01     5.37941E-02    -7.31041E+01
     460     2.04751E+03     1.45366E+01     5.39873E-02    -7.34074E+01
     461     2.05818E+03     1.43605E+01     5.41811E-02    -7.36743E+01
     462     2.06889E+03     1.41842E+01     5.43757E-02    -7.39071E+01
     463     2.07964E+03     1.40079E+01     5.45710E-02    -7.41044E+01
     464     2.09043E+03     1.38316E+01     5.47669E-02    -7.42669E+01
     465     2.10125E+03     1.36554E+01     5.49635E-02    -7.43945E+01
     466     2.11209E+03     1.34794E+01     5.51607E-02    -7.44881E+01
     467     2.12296E+03     1.33037E+01     5.53586E-02    -7.45468E+01
     468     2.13383E+03     1.31285E+01     5.55570E-02    -7.45716E+01
     469     2.14471E+03     1.29538E+01     5.57561E-02    -7.45623E+01
     470     2.15558E+03     1.27797E+01     5.59556E-02    -7.45190E+01
     471     2.16642E+03     1.26063E+01     5.61558E-02    -7.44410E+01
     472     2.17724E+03     1.24337E+01     5.63564E-02    -7.43297E+01
     473     2.18802E+03     1.22620E+01     5.65575E-02    -7.41836E+01
     474     2.19877E+03     1.20912E+01     5.67591E-02    -7.40050E+01
     475     2.20946E+03     1.19216E+01     5.69612E-02    -7.37925E+01
     476     2.22011E+03     1.17532E+01     5.71637E-02    -7.35467E+01
     477     2.23070E+03     1.15860E+01     5.73666E-02    -7.32684E+01
     478     2.24124E+03     1.14203E+01     5.75699E-02    -7.29577E+01
     479     2.25173E+03     1.12561E+01     5.77735E-02    -7.26155E+01
     480     2.26214E+03     1.10935E+01     5.79775E-02    -7.22412E+01
     481     2.27249E+03     1.09326E+01     5.81818E-02    -7.18357E+01
     482     2.28275E+03     1.07735E+01     5.83864E-02    -7.13992E+01
     483     2.29293E+03     1.06162E+01     5.85912E-02    -7.09321E+01
     484     2.30301E+03     1.04610E+01     5.87964E-02    -7.04347E+01
     485     2.31298E+03     1.03079E+01     5.90017E-02    -6.99074E+01
     486     2.32285E+03     1.01570E+01     5.92072E-02    -6.93506E+01
     487     2.33260E+03     1.00082E+01     5.94129E-02    -6.87646E+01
     488     2.34222E+03     9.86198E+00     5.96188E-02    -6.81500E+01
     489     2.35173E+03     9.71808E+00     5.98248E-02    -6.75071E+01
     490     2.36110E+03     9.57678E+00     6.00309E-02    -6.68366E+01
     491     2.37034E+03     9.43815E+00     6.02370E-02    -6.61389E+01
     492     2.37945E+03     9.30217E+00     6.04432E-02    -6.54145E+01
     493     2.38842E+03     9.16901E+00     6.06495E-02    -6.46640E+01
     494     2.39726E+03     9.03879E+00     6.08557E-02    -6.38877E+01
     495     2.40595E+03     8.91160E+00     6.10619E-02    -6.30863E+01
     496     2.41449E+03     8.78743E+00     6.12680E-02    -6.22603E+01
     497     2.42287E+03     8.66643E+00     6.14741E-02    -6.14101E+01
     498     2.43110E+03     8.54866E+00     6.16800E-02    -6.05364E+01
     499     2.43915E+03     8.43420E+00     6.18858E-02    -5.96398E+01
     500     2.44702E+03     8.32319E+00     6.20914E-02    -5.87205E+01
     501     2.45472E+03     8.21564E+00     6.22968E-02    -5.77794E+01
     502     2.46223E+03     8.11167E+00     6.25020E-02    -5.68170E+01
     503     2.46955E+03     8.01130E+00     6.27070E-02    -5.58339E+01
     504     2.47668E+03     7.91474E+00     6.29116E-02    -5.48310E+01
     505     2.48363E+03     7.82191E+00     6.31160E-02    -5.38088E+01
     506     2.49038E+03     7.73295E+00     6.33200E-02    -5.27680E+01
     507     2.49694E+03     7.64796E+00     6.35237E-02    -5.17092E+01
     508     2.50331E+03     7.56700E+00     6.37269E-02    -5.06333E+01
     509     2.50947E+03     7.49013E+00     6.39297E-02    -4.95408E+01
     510     2.51544E+03     7.41742E+00     6.41321E-02    -4.84325E+01
     511     2.52120E+03     7.34891E+00     6.43339E-02    -4.73089E+01
     512     2.52677E+03     7.28467E+00     6.45353E-02    -4.61708E+01
     513     2.53213E+03     7.22476E+00     6.47361E-02    -4.50190E+01
     514     2.53727E+03     7.16924E+00     6.49363E-02    -4.38540E+01
     515     2.54221E+03     7.11816E+00     6.51359E-02    -4.26765E+01
     516     2.54693E+03     7.07159E+00     6.53349E-02    -4.14874E+01
     517     2.55144E+03     7.02956E+00     6.55332E-02    -4.02871E+01
     518     2.55572E+03     6.99213E+00     6.57308E-02    -3.90766E+01
     519     2.55979E+03     6.95936E+00     6.59277E-02    -3.78566E+01
     520     2.56362E+03     6.93128E+00     6.61238E-02    -3.66276E+01
     521     2.56723E+03     6.90796E+00     6.63192E-02    -3.53905E+01
     522     2.57061E+03     6.88943E+00     6.65137E-02    -3.41460E+01
     523     2.57375E+03     6.87573E+00     6.67074E-02    -3.28948E+01
     524     2.57666E+03     6.86690E+00     6.69003E-02    -3.16376E+01
     525     2.57934E+03     6.86296E+00     6.70922E-02    -3.03752E+01
     526     2.58179E+03     6.86395E+00     6.72833E-02    -2.91082E+01
     527     2.58402E+03     6.86989E+00     6.74734E-02    -2.78374E+01
     528     2.58601E+03     6.88083E+00     6.76625E-02    -2.65635E+01
     529     2.58777E+03     6.89677E+00     6.78506E-02    -2.52872E+01
     530     2.58931E+03     6.91774E+00     6.80377E-02    -2.40094E+01
     531     2.59061E+03     6.94378E+00     6.82238E-02    -2.27307E+01
     532     2.59169E+03     6.97488E+00     6.84087E-02    -2.14521E+01
     533     2.59254E+03     7.01107E+00     6.85926E-02    -2.01741E+01
     534     2.59315E+03     7.05237E+00     6.87754E-02    -1.88977E+01
     535     2.59354E+03     7.09880E+00     6.89570E-02    -1.76236E+01
     536     2.59369E+03     7.15037E+00     6.91375E-02    -1.63526E+01
     537     2.59361E+03     7.20708E+00     6.93168E-02    -1.50854E+01
     538     2.59331E+03     7.26895E+00     6.94949E-02    -1.38228E+01
     539     2.59279E+03     7.33596E+00     6.96718E-02    -1.25655E+01
     540     2.59203E+03     7.40813E+00     6.98474E-02    -1.13141E+01
     541     2.59105E+03     7.48545E+00     7.00218E-02    -1.00695E+01
     542     2.58986E+03     7.56793E+00     7.01949E-02    -8.83236E+00
     543     2.58843E+03     7.65557E+00     7.03667E-02    -7.60338E+00
     544     2.58679E+03     7.74835E+00     7.05372E-02    -6.38328E+00
     545     2.58493E+03     7.84624E+00     7.07063E-02    -5.17270E+00
     546     2.58285E+03     7.94926E+00     7.08742E-02    -3.97231E+00
     547     2.58056E+03     8.05737E+00     7.10406E-02    -2.78280E+00
     548     2.57805E+03     8.17050E+00     7.12057E-02    -1.60481E+00
     549     2.57533E+03     8.28878E+00     7.13694E-02    -4.39027E-01
     550     2.57240E+03     8.41200E+00     7.15318E-02     7.13885E-01
     551     2.56926E+03     8.54031E+00     7.16927E-02     1.85324E+00
     552     2.56591E+03     8.67355E+00     7.18521E-02     2.97833E+00
     553     2.56236E+03     8.81172E+00     7.20102E-02     4.08849E+00
     554     2.55862E+03     8.95482E+00     7.21668E-02     5.18303E+00
     555     2.55468E+03     9.10278E+00     7.23220E-02     6.26126E+00
     556     2.55053E+03     9.25559E+00     7.24757E-02     7.32247E+00
     557     2.54622E+03     9.41318E+00     7.26279E-02     8.36607E+00
     558     2.54170E+03     9.57555E+00     7.27786E-02     9.39131E+00
     559     2.53701E+03     9.74261E+00     7.29279E-02     1.03977E+01
     560     2.53213E+03     9.91438E+00     7.30757E-02     1.13847E+01
     561     2.52707E+03     1.00907E+01     7.32219E-02     1.23515E+01
     562     2.52184E+03     1.02716E+01     7.33667E-02     1.32978E+01
     563     2.51643E+03     1.04571E+01     7.35100E-02     1.42228E+01
     564     2.51086E+03     1.06470E+01     7.36517E-02     1.51260E+01
     565     2.50511E+03     1.08413E+01     7.37919E-02     1.60069E+01
     566     2.49920E+03     1.10400E+01     7.39306E-02     1.68650E+01
     567     2.49313E+03     1.12428E+01     7.40677E-02     1.76997E+01
     568     2.48690E+03     1.14500E+01     7.42033E-02     1.85105E+01
     569     2.48052E+03     1.16613E+01     7.43374E-02     1.92970E+01
     570     2.47397E+03     1.18766E+01     7.44699E-02     2.00587E+01
     571     2.46728E+03     1.20960E+01     7.46009E-02     2.07950E+01
     572     2.46045E+03     1.23192E+01     7.47304E-02     2.15057E+01
     573     2.45348E+03     1.25463E+01     7.48583E-02     2.21901E+01
     574     2.44636E+03     1.27773E+01     7.49847E-02     2.28481E+01
     575     2.43913E+03     1.30119E+01     7.51095E-02     2.34792E+01
     576     2.43176E+03     1.32501E+01     7.52328E-02     2.40831E+01
     577     2.42428E+03     1.34919E+01     7.53545E-02     2.46593E+01
     578     2.41668E+03     1.37371E+01     7.54747E-02     2.52075E+01
     579     2.40897E+03     1.39858E+01     7.55933E-02     2.57273E+01
     580     2.40115E+03     1.42376E+01     7.57104E-02     2.62185E+01
     581     2.39324E+03     1.44927E+01     7.58260E-02     2.66805E+01
     582     2.38523E+03     1.47509E+01     7.59401E-02     2.71131E+01
     583     2.37712E+03     1.50121E+01     7.60526E-02     2.75160E+01
     584     2.36893E+03     1.52762E+01     7.61636E-02     2.78887E+01
     585     2.36065E+03     1.55431E+01     7.62731E-02     2.82310E+01
     586     2.35229E+03     1.58128E+01     7.63810E-02     2.85426E+01
     587     2.34386E+03     1.60851E+01     7.64875E-02     2.88232E+01
     588     2.33536E+03     1.63599E+01     7.65925E-02     2.90727E+01
     589     2.32679E+03     1.66371E+01     7.66960E-02     2.92908E+01
     590     2.31817E+03     1.69166E+01     7.67980E-02     2.94773E+01
     591     2.30949E+03     1.71984E+01     7.68985E-02     2.96321E+01
     592     2.30075E+03     1.74822E+01     7.69976E-02     2.97547E+01
     593     2.29197E+03     1.77681E+01     7.70952E-02     2.98452E+01
     594     2.28314E+03     1.80559E+01     7.71913E-02     2.99034E+01
     595     2.27428E+03     1.83454E+01     7.72861E-02     2.99292E+01
     596     2.26539E+03     1.86367E+01     7.73794E-02     2.99224E+01
     597     2.25646E+03     1.89295E+01     7.74713E-02     2.98829E+01
     598     2.24751E+03     1.92236E+01     7.75619E-02     2.98107E+01
     599     2.23854E+03     1.95192E+01     7.76510E-02     2.97056E+01
     600     2.22956E+03     1.98160E+01     7.77388E-02     2.95675E+01
     601     2.22056E+03     2.01139E+01     7.78253E-02     2.93966E+01
     602     2.21155E+03     2.04128E+01     7.79104E-02     2.91929E+01
     603     2.20255E+03     2.07126E+01     7.79943E-02     2.89563E+01
     604     2.19355E+03     2.10131E+01     7.80768E-02     2.86868E+01
     605     2.18455E+03     2.13143E+01     7.81580E-02     2.83845E+01
     606     2.17557E+03     2.16159E+01     7.82380E-02     2.80494E+01
     607     2.16659E+03     2.19181E+01     7.83168E-02     2.76816E+01
     608     2.15765E+03     2.22205E+01     7.83944E-02     2.72811E+01
     609     2.14873E+03     2.25231E+01     7.84707E-02     2.68482E+01
     610     2.13983E+03     2.28258E+01     7.85459E-02     2.63828E+01
     611     2.13097E+03     2.31282E+01     7.86200E-02     2.58851E+01
     612     2.12215E+03     2.34305E+01     7.86929E-02     2.53550E+01
     613     2.11337E+03     2.37325E+01     7.87647E-02     2.47929E+01
     614     2.10464E+03     2.40340E+01     7.88355E-02     2.41988E+01
     615     2.09596E+03     2.43349E+01     7.89052E-02     2.35731E+01
     616     2.08734E+03     2.46351E+01     7.89739E-02     2.29160E+01
     617     2.07878E+03     2.49346E+01     7.90415E-02     2.22279E+01
     618     2.07029E+03     2.52333E+01     7.91082E-02     2.15090E+01
     619     2.06186E+03     2.55308E+01     7.91740E-02     2.07596E+01
     620     2.05351E+03     2.58274E+01     7.92388E-02     1.99799E+01
     621     2.04525E+03     2.61227E+01     7.93027E-02     1.91703E+01
     622     2.03707E+03     2.64167E+01     7.93658E-02     1.83310E+01
     623     2.02896E+03     2.67092E+01     7.94280E-02     1.74624E+01
     624     2.02096E+03     2.70001E+01     7.94894E-02     1.65648E+01
     625     2.01305E+03     2.72894E+01     7.95500E-02     1.56383E+01
     626     2.00524E+03     2.75768E+01     7.96099E-02     1.46834E+01
     627     1.99752E+03     2.78622E+01     7.96690E-02     1.37003E+01
     628     1.98992E+03     2.81456E+01     7.97274E-02     1.26894E+01
     629     1.98243E+03     2.84268E+01     7.97852E-02     1.16512E+01
     630     1.97504E+03     2.87057E+01     7.98423E-02     1.05860E+01
     631     1.96778E+03     2.89821E+01     7.98988E-02     9.49420E+00
     632     1.96063E+03     2.92561E+01     7.99547E-02     8.37637E+00
     633     1.95361E+03     2.95274E+01     8.00101E-02     7.23278E+00
     634     1.94671E+03     2.97960E+01     8.00650E-02     6.06393E+00
     635     1.93994E+03     3.00617E+01     8.01193E-02     4.87030E+00
     636     1.93331E+03     3.03244E+01     8.01732E-02     3.65237E+00
     637     1.92682E+03     3.05841E+01     8.02267E-02     2.41062E+00
     638     1.92046E+03     3.08406E+01     8.02797E-02     1.14558E+00
     639     1.91425E+03     3.10938E+01     8.03324E-02    -1.42296E-01
     640     1.90818E+03     3.13437E+01     8.03847E-02    -1.45249E+00
     641     1.90226E+03     3.15901E+01     8.04367E-02    -2.78450E+00
     642     1.89648E+03     3.18328E+01     8.04883E-02    -4.13777E+00
     643     1.89087E+03     3.20719E+01     8.05398E-02    -5.51170E+00
     644     1.88540E+03     3.23073E+01     8.05910E-02    -6.90572E+00
     645     1.88010E+03     3.25386E+01     8.06419E-02    -8.31925E+00
     646     1.87496E+03     3.27660E+01     8.06927E-02    -9.75172E+00
     647     1.86997E+03     3.29892E+01     8.07434E-02    -1.12025E+01
     648     1.86516E+03     3.32081E+01     8.07939E-02    -1.26711E+01
     649     1.86050E+03     3.34228E+01     8.08444E-02    -1.41567E+01
     650     1.85603E+03     3.36330E+01     8.08947E-02    -1.56589E+01
     651     1.85171E+03     3.38389E+01     8.09450E-02    -1.71770E+01
     652     1.84757E+03     3.40402E+01     8.09953E-02    -1.87101E+01
     653     1.84361E+03     3.42371E+01     8.10456E-02    -2.02579E+01
     654     1.83982E+03     3.44293E+01     8.10960E-02    -2.18197E+01
     655     1.83622E+03     3.46168E+01     8.11464E-02    -2.33947E+01
     656     1.83279E+03     3.47995E+01     8.11969E-02    -2.49823E+01
     657     1.82955E+03     3.49775E+01     8.12475E-02    -2.65819E+01
     658     1.82649E+03     3.51506E+01     8.12983E-02    -2.81926E+01
     659     1.82361E+03     3.53187E+01     8.13492E-02    -2.98139E+01
     660     1.82092E+03     3.54817E+01     8.14004E-02    -3.14450E+01
     661     1.81842E+03     3.56396E+01     8.14517E-02    -3.30853E+01
     662     1.81610E+03     3.57922E+01     8.15033E-02    -3.47341E+01
     663     1.81397E+03     3.59396E+01     8.15552E-02    -3.63907E+01
     664     1.81203E+03     3.60817E+01     8.16074E-02    -3.80542E+01
     665     1.81028E+03     3.62184E+01     8.16599E-02    -3.97241E+01
     666     1.80872E+03     3.63496E+01     8.17128E-02    -4.13996E+01
     667     1.80735E+03     3.64754E+01     8.17660E-02    -4.30800E+01
     668     1.80617E+03     3.65957E+01     8.18196E-02    -4.47645E+01
     669     1.80518E+03     3.67103E+01     8.18736E-02    -4.64525E+01
     670     1.80439E+03     3.68194E+01     8.19281E-02    -4.81433E+01
     671     1.80379E+03     3.69228E+01     8.19831E-02    -4.98361E+01
     672     1.80337E+03     3.70204E+01     8.20385E-02    -5.15303E+01
     673     1.80315E+03     3.71124E+01     8.20945E-02    -5.32250E+01
     674     1.80312E+03     3.71986E+01     8.21510E-02    -5.49196E+01
     675     1.80329E+03     3.72789E+01     8.22081E-02    -5.66134E+01
     676     1.80364E+03     3.73535E+01     8.22657E-02    -5.83055E+01
     677     1.80419E+03     3.74222E+01     8.23240E-02    -5.99955E+01
     678     1.80492E+03     3.74849E+01     8.23829E-02    -6.16822E+01
     679     1.80585E+03     3.75417E+01     8.24425E-02    -6.33651E+01
     680     1.80696E+03     3.75925E+01     8.25027E-02    -6.50434E+01
     681     1.80826E+03     3.76372E+01     8.25636E-02    -6.67163E+01
     682     1.80974E+03     3.76759E+01     8.26252E-02    -6.83829E+01
     683     1.81141E+03     3.77084E+01     8.26876E-02    -7.00426E+01
     684     1.81327E+03     3.77348E+01     8.27508E-02    -7.16948E+01
     685     1.81531E+03     3.77552E+01     8.28147E-02    -7.33387E+01
     686     1.81752E+03     3.77696E+01     8.28794E-02    -7.49733E+01
     687     1.81992E+03     3.77779E+01     8.29449E-02    -7.65988E+01
     688     1.82250E+03     3.77803E+01     8.30112E-02    -7.82144E+01
     689     1.82526E+03     3.77766E+01     8.30784E-02    -7.98188E+01
     690     1.82820E+03     3.77672E+01     8.31465E-02    -8.14111E+01
     691     1.83131E+03     3.77517E+01     8.32155E-02    -8.29916E+01
     692     1.83460E+03     3.77303E+01     8.32853E-02    -8.45594E+01
     693     1.83805E+03     3.77031E+01     8.33561E-02    -8.61138E+01
     694     1.84168E+03     3.76699E+01     8.34278E-02    -8.76535E+01
     695     1.84548E+03     3.76309E+01     8.35004E-02    -8.91784E+01
     696     1.84943E+03     3.75859E+01     8.35740E-02    -9.06871E+01
     697     1.85356E+03     3.75351E+01     8.36486E-02    -9.21797E+01
     698     1.85784E+03     3.74784E+01     8.37241E-02    -9.36547E+01
     699     1.86229E+03     3.74159E+01     8.38006E-02    -9.51121E+01
     700     1.86689E+03     3.73476E+01     8.38782E-02    -9.65513E+01
     701     1.87164E+03     3.72736E+01     8.39567E-02    -9.79716E+01
     702     1.87653E+03     3.71938E+01     8.40363E-02    -9.93722E+01
     703     1.88158E+03     3.71085E+01     8.41169E-02    -1.00753E+02
     704     1.88678E+03     3.70174E+01     8.41986E-02    -1.02112E+02
     705     1.89211E+03     3.69209E+01     8.42813E-02    -1.03451E+02
     706     1.89759E+03     3.68188E+01     8.43650E-02    -1.04766E+02
     707     1.90320E+03     3.67113E+01     8.44498E-02    -1.06060E+02
     708     1.90895E+03     3.65983E+01     8.45357E-02    -1.07331E+02
     709     1.91483E+03     3.64801E+01     8.46226E-02    -1.08577E+02
     710     1.92083E+03     3.63566E+01     8.47106E-02    -1.09800E+02
     711     1.92696E+03     3.62279E+01     8.47997E-02    -1.10998E+02
     712     1.93321E+03     3.60940E+01     8.48899E-02    -1.12170E+02
     713     1.93958E+03     3.59549E+01     8.49811E-02    -1.13317E+02
     714     1.94606E+03     3.58109E+01     8.50734E-02    -1.14437E+02
     715     1.95266E+03     3.56619E+01     8.51667E-02    -1.15530E+02
     716     1.95936E+03     3.55078E+01     8.52612E-02    -1.16597E+02
     717     1.96616E+03     3.53488E+01     8.53567E-02    -1.17634E+02
     718     1.97307E+03     3.51850E+01     8.54533E-02    -1.18643E+02
     719     1.98006E+03     3.50164E+01     8.55509E-02    -1.19623E+02
     720     1.98716E+03     3.48432E+01     8.56496E-02    -1.20574E+02
     721     1.99434E+03     3.46654E+01     8.57493E-02    -1.21495E+02
     722     2.00160E+03     3.44831E+01     8.58501E-02    -1.22386E+02
     723     2.00896E+03     3.42966E+01     8.59519E-02    -1.23247E+02
     724     2.01640E+03     3.41059E+01     8.60548E-02    -1.24078E+02
     725     2.02391E+03     3.39110E+01     8.61587E-02    -1.24877E+02
     726     2.03150E+03     3.37121E+01     8.62636E-02    -1.25646E+02
     727     2.03917E+03     3.35092E+01     8.63695E-02    -1.26383E+02
     728     2.04690E+03     3.33025E+01     8.64764E-02    -1.27089E+02
     729     2.05469E+03     3.30920E+01     8.65842E-02    -1.27761E+02
     730     2.06255E+03     3.28778E+01     8.66931E-02    -1.28402E+02
     731     2.07046E+03     3.26600E+01     8.68029E-02    -1.29009E+02
     732     2.07843E+03     3.24387E+01     8.69137E-02    -1.29583E+02
     733     2.08644E+03     3.22140E+01     8.70255E-02    -1.30124E+02
     734     2.09450E+03     3.19859E+01     8.71381E-02    -1.30630E+02
     735     2.10259E+03     3.17547E+01     8.72517E-02    -1.31102E+02
     736     2.11072E+03     3.15204E+01     8.73662E-02    -1.31541E+02
     737     2.11888E+03     3.12831E+01     8.74815E-02    -1.31944E+02
     738     2.12707E+03     3.10429E+01     8.75978E-02    -1.32313E+02
     739     2.13529E+03     3.08000E+01     8.77149E-02    -1.32647E+02
     740     2.14352E+03     3.05544E+01     8.78328E-02    -1.32944E+02
     741     2.15176E+03     3.03064E+01     8.79516E-02    -1.33208E+02
     742     2.16001E+03     3.00559E+01     8.80711E-02    -1.33436E+02
     743     2.16828E+03     2.98032E+01     8.81915E-02    -1.33628E+02
     744     2.17653E+03     2.95483E+01     8.83126E-02    -1.33784E+02
     745     2.18479E+03     2.92914E+01     8.84345E-02    -1.33904E+02
     746     2.19303E+03     2.90326E+01     8.85572E-02    -1.33990E+02
     747     2.20126E+03     2.87721E+01     8.86806E-02    -1.34038E+02
     748     2.20948E+03     2.85098E+01     8.88046E-02    -1.34051E+02
