# Planck 2018 lensed scalar CMB, D_ell = l(l+1)C_l/2pi in muK^2.
# Lensing BB only -- scalars, r = 0, no primordial B modes.
# Planck 2018 VI Table 2, TT,TE,EE+lowE+lensing (marginalised means):
#   H0=67.36 ombh2=0.02237 omch2=0.12 tau=0.0544
#   As=2.1e-09 ns=0.9649 mnu=0.06 omk=0
# CAMB 1.6.5, lens_potential_accuracy=4.
# columns: ell  D_TT  D_EE  D_BB  D_TE
      75     1.99110E+03     3.97748E-01     1.80801E-03    -8.09247E+00
      76     2.01692E+03     4.12009E-01     1.85655E-03    -8.60234E+00
      77     2.04292E+03     4.26440E-01     1.90574E-03    -9.12261E+00
      78     2.06909E+03     4.41027E-01     1.95559E-03    -9.65281E+00
      79     2.09547E+03     4.55761E-01     2.00608E-03    -1.01928E+01
      80     2.12209E+03     4.70628E-01     2.05723E-03    -1.07425E+01
      81     2.14896E+03     4.85619E-01     2.10904E-03    -1.13017E+01
      82     2.17611E+03     5.00723E-01     2.16151E-03    -1.18701E+01
      83     2.20349E+03     5.15928E-01     2.21464E-03    -1.24473E+01
      84     2.23113E+03     5.31224E-01     2.26844E-03    -1.30327E+01
      85     2.25900E+03     5.46599E-01     2.32291E-03    -1.36263E+01
      86     2.28710E+03     5.62044E-01     2.37804E-03    -1.42273E+01
      87     2.31541E+03     5.77545E-01     2.43385E-03    -1.48353E+01
      88     2.34391E+03     5.93090E-01     2.49034E-03    -1.54498E+01
      89     2.37259E+03     6.08665E-01     2.54751E-03    -1.60704E+01
      90     2.40147E+03     6.24254E-01     2.60536E-03    -1.66967E+01
      91     2.43056E+03     6.39843E-01     2.66390E-03    -1.73282E+01
      92     2.45986E+03     6.55416E-01     2.72313E-03    -1.79648E+01
      93     2.48937E+03     6.70960E-01     2.78305E-03    -1.86058E+01
      94     2.51910E+03     6.86462E-01     2.84367E-03    -1.92512E+01
      95     2.54906E+03     7.01906E-01     2.90499E-03    -1.99003E+01
      96     2.57924E+03     7.17279E-01     2.96701E-03    -2.05527E+01
      97     2.60965E+03     7.32566E-01     3.02975E-03    -2.12080E+01
      98     2.64028E+03     7.47751E-01     3.09319E-03    -2.18658E+01
      99     2.67112E+03     7.62821E-01     3.15734E-03    -2.25256E+01
     100     2.70219E+03     7.77764E-01     3.22222E-03    -2.31867E+01
     101     2.73347E+03     7.92566E-01     3.28781E-03    -2.38488E+01
     102     2.76497E+03     8.07204E-01     3.35413E-03    -2.45115E+01
     103     2.79667E+03     8.21678E-01     3.42119E-03    -2.51740E+01
     104     2.82857E+03     8.35959E-01     3.48897E-03    -2.58360E+01
     105     2.86066E+03     8.50041E-01     3.55749E-03    -2.64968E+01
     106     2.89295E+03     8.63907E-01     3.62675E-03    -2.71558E+01
     107     2.92541E+03     8.77551E-01     3.69676E-03    -2.78126E+01
     108     2.95804E+03     8.90952E-01     3.76752E-03    -2.84666E+01
     109     2.99085E+03     9.04101E-01     3.83903E-03    -2.91171E+01
     110     3.02381E+03     9.16977E-01     3.91130E-03    -2.97637E+01
     111     3.05693E+03     9.29573E-01     3.98433E-03    -3.04058E+01
     112     3.09020E+03     9.41881E-01     4.05812E-03    -3.10427E+01
     113     3.12361E+03     9.53878E-01     4.13269E-03    -3.16741E+01
     114     3.15715E+03     9.65550E-01     4.20803E-03    -3.22992E+01
     115     3.19083E+03     9.76896E-01     4.28415E-03    -3.29175E+01
     116     3.22463E+03     9.87902E-01     4.36105E-03    -3.35285E+01
     117     3.25854E+03     9.98544E-01     4.43875E-03    -3.41316E+01
     118     3.29256E+03     1.00882E+00     4.51724E-03    -3.47262E+01
     119     3.32669E+03     1.01873E+00     4.59653E-03    -3.53117E+01
     120     3.36090E+03     1.02824E+00     4.67662E-03    -3.58877E+01
     121     3.39520E+03     1.03736E+00     4.75752E-03    -3.64535E+01
     122     3.42957E+03     1.04606E+00     4.83924E-03    -3.70086E+01
     123     3.46401E+03     1.05436E+00     4.92178E-03    -3.75524E+01
     124     3.49852E+03     1.06222E+00     5.00515E-03    -3.80844E+01
     125     3.53306E+03     1.06965E+00     5.08935E-03    -3.86041E+01
     126     3.56766E+03     1.07663E+00     5.17439E-03    -3.91108E+01
     127     3.60228E+03     1.08317E+00     5.26027E-03    -3.96042E+01
     128     3.63692E+03     1.08925E+00     5.34700E-03    -4.00836E+01
     129     3.67159E+03     1.09487E+00     5.43460E-03    -4.05485E+01
     130     3.70625E+03     1.10001E+00     5.52305E-03    -4.09984E+01
     131     3.74091E+03     1.10467E+00     5.61238E-03    -4.14328E+01
     132     3.77557E+03     1.10886E+00     5.70258E-03    -4.18512E+01
     133     3.81020E+03     1.11256E+00     5.79367E-03    -4.22531E+01
     134     3.84481E+03     1.11578E+00     5.88564E-03    -4.26380E+01
     135     3.87938E+03     1.11851E+00     5.97852E-03    -4.30056E+01
     136     3.91392E+03     1.12075E+00     6.07229E-03    -4.33552E+01
     137     3.94840E+03     1.12249E+00     6.16698E-03    -4.36864E+01
     138     3.98283E+03     1.12374E+00     6.26259E-03    -4.39988E+01
     139     4.01718E+03     1.12450E+00     6.35912E-03    -4.42920E+01
     140     4.05147E+03     1.12476E+00     6.45658E-03    -4.45656E+01
     141     4.08568E+03     1.12454E+00     6.55498E-03    -4.48192E+01
     142     4.11979E+03     1.12383E+00     6.65432E-03    -4.50523E+01
     143     4.15381E+03     1.12263E+00     6.75462E-03    -4.52646E+01
     144     4.18772E+03     1.12095E+00     6.85587E-03    -4.54557E+01
     145     4.22152E+03     1.11878E+00     6.95809E-03    -4.56251E+01
     146     4.25518E+03     1.11614E+00     7.06127E-03    -4.57726E+01
     147     4.28869E+03     1.11304E+00     7.16544E-03    -4.58976E+01
     148     4.32203E+03     1.10947E+00     7.27058E-03    -4.59997E+01
     149     4.35520E+03     1.10545E+00     7.37672E-03    -4.60787E+01
     150     4.38819E+03     1.10098E+00     7.48384E-03    -4.61340E+01
     151     4.42096E+03     1.09607E+00     7.59197E-03    -4.61654E+01
     152     4.45352E+03     1.09073E+00     7.70110E-03    -4.61725E+01
     153     4.48586E+03     1.08497E+00     7.81123E-03    -4.61551E+01
     154     4.51799E+03     1.07881E+00     7.92238E-03    -4.61130E+01
     155     4.54988E+03     1.07224E+00     8.03454E-03    -4.60458E+01
     156     4.58156E+03     1.06530E+00     8.14773E-03    -4.59535E+01
     157     4.61298E+03     1.05797E+00     8.26194E-03    -4.58356E+01
     158     4.64418E+03     1.05030E+00     8.37717E-03    -4.56920E+01
     159     4.67512E+03     1.04227E+00     8.49343E-03    -4.55225E+01
     160     4.70579E+03     1.03392E+00     8.61072E-03    -4.53268E+01
     161     4.73619E+03     1.02525E+00     8.72904E-03    -4.51048E+01
     162     4.76629E+03     1.01628E+00     8.84840E-03    -4.48563E+01
     163     4.79610E+03     1.00705E+00     8.96879E-03    -4.45809E+01
     164     4.82558E+03     9.97549E-01     9.09021E-03    -4.42786E+01
     165     4.85474E+03     9.87802E-01     9.21267E-03    -4.39493E+01
     166     4.88357E+03     9.77832E-01     9.33616E-03    -4.35927E+01
     167     4.91204E+03     9.67660E-01     9.46068E-03    -4.32087E+01
     168     4.94017E+03     9.57309E-01     9.58624E-03    -4.27974E+01
     169     4.96793E+03     9.46802E-01     9.71282E-03    -4.23587E+01
     170     4.99533E+03     9.36154E-01     9.84044E-03    -4.18924E+01
     171     5.02233E+03     9.25394E-01     9.96907E-03    -4.13986E+01
     172     5.04897E+03     9.14544E-01     1.00987E-02    -4.08771E+01
     173     5.07520E+03     9.03627E-01     1.02294E-02    -4.03280E+01
     174     5.10102E+03     8.92665E-01     1.03611E-02    -3.97512E+01
     175     5.12644E+03     8.81695E-01     1.04938E-02    -3.91468E+01
     176     5.15143E+03     8.70733E-01     1.06275E-02    -3.85149E+01
